SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
1772611996.295270, 0.169839, -0.087089, -9.813384, -0.002855, 0.002249, 0.000646
1772611996.305474, 0.173729, -0.092775, -9.800664, -0.000363, 0.001532, 0.001703
1772611996.315480, 0.175974, -0.093972, -9.814880, 0.000545, 0.004958, 0.004031
1772611996.325557, 0.185850, -0.104447, -9.803059, -0.003866, -0.003397, 0.001930
1772611996.335449, 0.192135, -0.098910, -9.805154, 0.000857, -0.006160, 0.003694
1772611996.345273, 0.183605, -0.087837, -9.808745, 0.001425, -0.002670, 0.006208
1772611996.355584, 0.185251, -0.091728, -9.814431, -0.002368, 0.004381, 0.002851
1772611996.365454, 0.177769, -0.111480, -9.808446, -0.000372, -0.001516, 0.003607
1772611996.375441, 0.168492, -0.096217, -9.816077, -0.004253, -0.002343, 0.002637
1772611996.385446, 0.170288, -0.101155, -9.805004, -0.000694, 0.003643, 0.000555
1772611996.395259, 0.176423, -0.108787, -9.820866, 0.000285, 0.001550, 0.003280
1772611996.405447, 0.185251, -0.112079, -9.812187, -0.002271, 0.003546, 0.002287
1772611996.415465, 0.180164, -0.101305, -9.806201, 0.001181, 0.001501, 0.003294
1772611996.424853, 0.166247, -0.109684, -9.818771, 0.001652, 0.004771, 0.001757
1772611996.435471, 0.172532, -0.098312, -9.822212, -0.001279, 0.019570, 0.000281
1772611996.445438, 0.165499, -0.095918, -9.816376, -0.000688, 0.020704, 0.003148
1772611996.455412, 0.193631, -0.103549, -9.801413, -0.001676, 0.014451, 0.002796
1772611996.465491, 0.178368, -0.093374, -9.803358, -0.000593, 0.015188, 0.003101
1772611996.475407, 0.178817, -0.092925, -9.810840, -0.000603, 0.008471, 0.004511
1772611996.485416, 0.178967, -0.111630, -9.812486, -0.004506, 0.010746, 0.000646
1772611996.495225, 0.160860, -0.097115, -9.816376, -0.001588, 0.016483, 0.003508
1772611996.505593, 0.172831, -0.101305, -9.821763, -0.001526, 0.013828, 0.002110
1772611996.515440, 0.179116, -0.101604, -9.823260, -0.002633, 0.013694, 0.000422
1772611996.525417, 0.176872, -0.107440, -9.812636, -0.003538, 0.007702, 0.001294
1772611996.535524, 0.185850, -0.091578, -9.812187, -0.002818, 0.008287, 0.001070
1772611996.545247, 0.185850, -0.091578, -9.812187, -0.002996, -0.004054, 0.000887
1772611996.555431, 0.196773, -0.102651, -9.802759, -0.001158, 0.001305, 0.002871
1772611996.565495, 0.179266, -0.087837, -9.818172, -0.002920, 0.003151, 0.002035
1772611996.574876, 0.178967, -0.092925, -9.801562, -0.003511, -0.007485, 0.002813
1772611996.585474, 0.189441, -0.108787, -9.800515, -0.002534, -0.002715, 0.001438
1772611996.595284, 0.171335, -0.098761, -9.815030, -0.001452, -0.003312, 0.002299
1772611996.605454, 0.168642, -0.107290, -9.816227, -0.001780, -0.004657, 0.004020
1772611996.615609, 0.174328, -0.105046, -9.806800, -0.000679, -0.005501, 0.005524
1772611996.624928, 0.170138, -0.089783, -9.814431, -0.002508, -0.000132, 0.003102
1772611996.635465, 0.173280, -0.100556, -9.812935, -0.004884, -0.003064, 0.004087
1772611996.645437, 0.175824, -0.102801, -9.816825, 0.001414, 0.006896, 0.001608
1772611996.655588, 0.187646, -0.104896, -9.815628, -0.003760, 0.014056, 0.002164
1772611996.665432, 0.176273, -0.104896, -9.810541, -0.002322, 0.025654, 0.001634
1772611996.675428, 0.169090, -0.112527, -9.806351, 0.000340, 0.015407, 0.000478
1772611996.685587, 0.172383, -0.098910, -9.812336, 0.002252, 0.008058, 0.001980
1772611996.695369, 0.172981, -0.113725, -9.801263, -0.000511, 0.000470, 0.003073
